CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-134-CAS-208868'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-96243'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-45098'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-173604'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-41496'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-47580'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-134-CAS-99529'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['1-125-CAS-151780'],,"(methanol, null); (water, null)","(water, null); (phosphate, null); (hexane, null)","(ethyl acetate+methanol, 0.8); (ethyl acetate+methanol, 0.8)","(ethyl acetate, null)"
['1-101-CAS-141763'],,"(methanol, null); (toluene, null)",,"(diethyl ether+ethyl acetate, 0.95)","(ethyl acetate, null)"
['1-133-CAS-3225411'],"(water, null)","(methanol, null)",,"(ethyl acetate, null)",
['1-143-CAS-518539'],"(water, null)","(acetonitrile, null); (methanol, null)","(water, null)","(methanol, null)","(methanol, null)"
['1-143-CAS-519763'],"(water, null)","(acetonitrile, null); (methanol, null)","(water, null)","(methanol, null)","(methanol, null)"
['1-143-CAS-515720'],"(water, null)","(acetonitrile, null); (methanol, null)","(water, null)","(methanol, null)","(methanol, null)"
['2-141-CAS-66417'],,"(methanol, null); (methanol+water, 0.75)","(methanol+water, 0.75)","(methanol+water, 0.2)",
['1-124-CAS-61505'],,"(methanol, null); (water, null)","(methanol, null)","(unknown, 0.75)","(water, null)"
['1-101-CAS-209275'],"(unknown, null)","(methanol, null); (phosphate, null)","(water, null); (unknown, null); (methanol, null); (ethyl acetate, null)","(ammonium hydroxide+ethyl acetate, 0.98)","(ethyl acetate, null)"
['1-128-CAS-3227316'],"(water, null)","(methanol, null); (unknown, null)","(acetone, null)","(dichloromethane, null)","(acetone+dichloromethane, null)"
['1-134-CAS-89732'],,"(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
['2-114-CAS-300253'],"(unknown, null)",,,"(methanol+water, 0.05); (methanol, null)","(methanol+water, 0.6)"
['2-114-CAS-237042'],"(water, null)","(methanol, null); (water, null)",,"(acetonitrile, null)","(methanol, null)"
['1-101-CAS-118643'],,"(methanol, null); (water, null)","(water, null)","(acetonitrile, null)","(water, null)"
['1-143-CAS-155273'],"(water, null)","(acetone+ethyl acetate, 0.5); (methanol, null); (water, null)","(methanol+water, 0.1)","(acetone+ethyl acetate, 0.67)","(chloroform, null)"
['1-125-CAS-35374'],"(water, null)","(methanol, null); (water, null); (unknown, null)","(methanol+water, 0.05)","(chloroform, null)","(methanol, null)"
['1-101-CAS-51100'],"(water, 0.9259999999999999)","(methanol, null); (water, null)","(water, null); (water, null)","(methanol, null); (methanol, null)","(acetonitrile+water, 0.85)"
['1-124-CAS-60424'],"(methanol+water, 0.23); (water, null)","(acetonitrile, null); (water, null)",,"(ethyl acetate+hexane, 0.5); (ethyl acetate+hexane, 0.5)",
['1-101-CAS-17514'],"(methanol+water, 0.2); (ethyl acetate+water, null); (phosphate, null)","(methanol, null); (water, null)","(sodium hydroxide, null)","(ethyl acetate, null)","(toluene, 0.5)"
['1-125-CAS-57734'],"(phosphate+water, 0.5556)","(methanol, null); (phosphate, null)","(water, null); (hydrochloric acid, null); (methanol, null)","(ammonium hydroxide+dichloromethane, 0.7999796001631987)",
['1-124-CAS-191696'],"(methanol+water, null)","(unknown, 0.5); (methanol, null); (water, null)","(water, null); (methanol, null)","(methanol, null); (unknown, 0.5)","(acetonitrile+water, 0.85)"
['2-114-CAS-254166'],"(methanol+sodium acetate, 0.833)",,"(water, null); (unknown, null); (water, null); (acetic acid+sodium acetate, null); (water, null); (methanol+water, 0.3)","(methanol, null)","(methanol+water, 0.3)"
['1-101-CAS-189768'],,"(methanol, null); (water, null)",,"(methanol, null)","(unknown, 0.95)"
['1-143-CAS-47814'],,"(methanol, null); (water, null)",,"(methanol, null)","(unknown, 0.95)"
['1-101-CAS-14578'],"(potassium phosphate+water, 0.9412)","(methanol, null); (water, null)","(water, null)","(methanol, null)",
['1-139-CAS-556313'],,"(methanol, null); (methanol, null); (water, null); (water, null)","(water, null)","(acetonitrile+methanol, 0.5); (acetonitrile+methanol, 0.5)","(acetonitrile+water, 0.5)"
['1-139-CAS-556632'],,"(methanol, null); (methanol, null); (water, null); (water, null)","(water, null)","(acetonitrile+methanol, 0.5); (acetonitrile+methanol, 0.5)","(acetonitrile+water, 0.5)"
['2-114-CAS-263244'],"(methanol+water, 0.95)","(ethyl acetate+hexane, 0.7575757575757576); (methanol, null); (methanol+water, 0.95)","(methanol+water, 0.8); (methanol+water, 0.8)","(ethyl acetate+hexane, 0.7575757575757576); (ethyl acetate+hexane, 0.7575757575757576)","(methanol+water, 0.4)"
['1-101-CAS-47354'],"(phosphoric acid, null)","(methanol, null); (methanol+water, 0.99)","(methanol+water, 0.85); (hexane+isopropanol, 0.95)","(dichloromethane+methanol, 0.95)","(methanol, null)"
['1-124-CAS-107817'],,"(methanol, null); (water, null); (water, null)","(water, null)","(water, null)",
['1-124-CAS-175391'],,"(methanol, null); (water, null); (water, null)","(water, null)","(water, null)",
['1-124-CAS-115048'],,"(methanol, null); (water, null); (water, null)","(water, null)","(water, null)",
['2-114-CAS-62099'],"(methanol, null); (methanol+water, 0.85); (methanol+water, 0.2)","(water, null)","(water, null)","(methanol+water, 0.5)",
['1-132-CAS-60207'],"(methanol+water, 0.3)","(methanol+water, 0.3)","(methanol, null); (water, null)","(unknown, 0.5)","(methanol, null)"
