CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-101-CAS-3192526'],water,methanol; water,,methanol,methanol
['1-101-CAS-3191547'],water,methanol; water,,methanol,methanol
['1-119-CAS-3182490'],acetic acid+sodium acetate,methanol; water,,methanol+nitric acid,
['1-124-CAS-3194802'],,methanol; ammonium acetate,water,acetonitrile,acetonitrile+water
['1-124-CAS-3193463'],,methanol; ammonium acetate,water,acetonitrile,acetonitrile+water
['1-124-CAS-3194133'],acetonitrile+water,acetonitrile; water,acetonitrile+water,acetonitrile,acetonitrile
['1-119-CAS-3184356'],water,,water,sulfuric acid,
['1-101-CAS-3222981'],unknown,methanol; water,,methanol+water,methanol+water
['1-120-CAS-3227857'],water,methanol; water,,methanol,
['1-119-CAS-3184974'],acetic acid+sodium acetate,methanol; water,,ethanol,
['1-101-CAS-3189467'],water,,,water; methanol+water; methanol,methanol
['1-120-CAS-3228662'],water,methanol; water,,methanol,
['1-122-CAS-3187891'],methanol+water,methanol,methanol+water,methanol,
['1-119-CAS-3192755'],unknown,ammonium acetate,ammonium acetate,nitric acid+water,
['1-101-CAS-3196845'],water,methanol; water,,methanol,methanol
['1-119-CAS-3182536'],acetic acid+sodium acetate,methanol; water,,unknown,
['2-114-CAS-170988'],,,,,
['2-112-CAS-112236'],,,,dichloromethane+hexane,unknown
['2-114-CAS-112215'],,,,,
['1-143-CAS-334084'],water,,,acetonitrile; acetonitrile+methanol,
['1-143-CAS-333873'],water,,,acetonitrile; acetonitrile+methanol,
['1-143-CAS-333060'],water,methanol; water,,methanol,
['2-114-CAS-168665'],,,,,
['2-138-CAS-102971'],unknown,,,,
['2-107-CAS-168277'],water,,,,
['2-107-CAS-165735'],water,,,,
['2-113-CAS-113948'],,,,,
['2-141-CAS-168423'],acetonitrile+water,,,,
['2-141-CAS-102028'],water,methanol; water,water,methanol,methanol
['2-114-CAS-149171'],unknown,dichloromethane; acetonitrile; water,water,acetonitrile,
['2-141-CAS-102764'],water,methanol; water,water,methanol,methanol
['2-141-CAS-150722'],acetonitrile+water,acetonitrile; water,water,acetonitrile+water,
['1-143-CAS-439590'],,methanol; water,water; methanol+water,methanol,methanol+water
['2-138-CAS-101050'],water,methanol; water,water,methanol,methanol+water
['2-138-CAS-48241'],water,methanol; water,water,methanol,methanol+water
['2-141-CAS-111124'],unknown,,,,
['2-141-CAS-100210'],water,methanol; water,water,methanol,methanol
['2-114-CAS-166266'],water,,acetone+water,water,
['1-131-CAS-328469'],water,,acetone+water,water,
['1-143-CAS-330635'],water,,,,
['1-101-CAS-3180945'],,ethanol+water,,ethanol,
['2-107-CAS-165383'],,methanol; water,water; ethyl acetate,methanol,water
['2-105-CAS-168330'],,methanol; water,water; ethyl acetate,methanol,water
['2-105-CAS-166495'],,methanol; water,water; ethyl acetate,methanol,water
['1-131-CAS-328973'],,methanol; water,water; ethyl acetate,methanol,water
['1-101-CAS-3177350'],,,,acetone+ethyl acetate,unknown
['2-114-CAS-104103'],water,acetonitrile+water; water,water,acetonitrile+water,
['2-114-CAS-108112'],potassium phosphate,methanol; water,water,methanol+water,methanol+water
['2-105-CAS-152194'],hexane,methanol; hexane,hexane,methanol,
['2-105-CAS-152108'],hexane,methanol; hexane,hexane,methanol,
['2-105-CAS-149487'],hexane,methanol; hexane,hexane,methanol,
['1-131-CAS-310475'],hexane,methanol; hexane,hexane,methanol,
['1-131-CAS-307831'],hexane,methanol; hexane,hexane,methanol,
['1-143-CAS-330642'],water,acetone; methanol; unknown,unknown,dichloromethane,acetonitrile+water
